考试类型,科目,重要程度,问题,答案,备注
环境影响评价工程师,环境影响评价相关法律法规,高,《环境影响评价法》在环评工程师考试中的定位是什么？,《环境影响评价法》是建设项目和规划环评的基本法律依据。备考时要抓住适用范围、分类管理、审批程序、公众参与、跟踪评价与法律责任。,法规定位题常考
环境影响评价工程师,环境影响评价相关法律法规,高,复习《环境影响评价法》时应重点把握哪些与环评实务直接相关的制度？,重点抓住：适用范围、分类管理、审批程序、公众参与、跟踪评价与法律责任，并能结合建设项目审批、实施、验收场景判断适用。,适合做框架记忆
环境影响评价工程师,环境影响评价相关法律法规,中,遇到案例题引用《环境影响评价法》时，答题应如何体现法规应用？,先指出适用情形，再说明项目应履行的程序或义务，最后落到合规要求、环保措施或法律责任。,案例分析通用答法
环境影响评价工程师,环境影响评价相关法律法规,高,《环境保护法》在环评工程师考试中的定位是什么？,《环境保护法》是生态环境保护领域的基础性法律。备考时要抓住保护优先、预防为主、损害担责、信息公开与公众参与。,法规定位题常考
环境影响评价工程师,环境影响评价相关法律法规,高,复习《环境保护法》时应重点把握哪些与环评实务直接相关的制度？,重点抓住：保护优先、预防为主、损害担责、信息公开与公众参与，并能结合建设项目审批、实施、验收场景判断适用。,适合做框架记忆
环境影响评价工程师,环境影响评价相关法律法规,中,遇到案例题引用《环境保护法》时，答题应如何体现法规应用？,先指出适用情形，再说明项目应履行的程序或义务，最后落到合规要求、环保措施或法律责任。,案例分析通用答法
环境影响评价工程师,环境影响评价相关法律法规,高,《建设项目环境保护管理条例》在环评工程师考试中的定位是什么？,《建设项目环境保护管理条例》是建设项目环评审批和环保“三同时”的关键行政法规。备考时要抓住环评文件报批、环保措施同步建设、竣工环保验收。,法规定位题常考
环境影响评价工程师,环境影响评价相关法律法规,高,复习《建设项目环境保护管理条例》时应重点把握哪些与环评实务直接相关的制度？,重点抓住：环评文件报批、环保措施同步建设、竣工环保验收，并能结合建设项目审批、实施、验收场景判断适用。,适合做框架记忆
环境影响评价工程师,环境影响评价相关法律法规,中,遇到案例题引用《建设项目环境保护管理条例》时，答题应如何体现法规应用？,先指出适用情形，再说明项目应履行的程序或义务，最后落到合规要求、环保措施或法律责任。,案例分析通用答法
环境影响评价工程师,环境影响评价相关法律法规,高,《建设项目环境影响评价分类管理名录（2021年版）》在环评工程师考试中的定位是什么？,《建设项目环境影响评价分类管理名录（2021年版）》是判定项目应编制报告书、报告表还是登记表的直接依据。备考时要抓住按行业和规模判定类别，变更项目时要重新核对名录。,法规定位题常考
环境影响评价工程师,环境影响评价相关法律法规,高,复习《建设项目环境影响评价分类管理名录（2021年版）》时应重点把握哪些与环评实务直接相关的制度？,重点抓住：按行业和规模判定类别，变更项目时要重新核对名录，并能结合建设项目审批、实施、验收场景判断适用。,适合做框架记忆
环境影响评价工程师,环境影响评价相关法律法规,中,遇到案例题引用《建设项目环境影响评价分类管理名录（2021年版）》时，答题应如何体现法规应用？,先指出适用情形，再说明项目应履行的程序或义务，最后落到合规要求、环保措施或法律责任。,案例分析通用答法
环境影响评价工程师,环境影响评价相关法律法规,高,《规划环境影响评价条例》在环评工程师考试中的定位是什么？,《规划环境影响评价条例》是规划环评的重要行政法规。备考时要抓住规划编制阶段开展环评，提出优化调整建议并衔接“三线一单”。,法规定位题常考
环境影响评价工程师,环境影响评价相关法律法规,高,复习《规划环境影响评价条例》时应重点把握哪些与环评实务直接相关的制度？,重点抓住：规划编制阶段开展环评，提出优化调整建议并衔接“三线一单”，并能结合建设项目审批、实施、验收场景判断适用。,适合做框架记忆
环境影响评价工程师,环境影响评价相关法律法规,中,遇到案例题引用《规划环境影响评价条例》时，答题应如何体现法规应用？,先指出适用情形，再说明项目应履行的程序或义务，最后落到合规要求、环保措施或法律责任。,案例分析通用答法
环境影响评价工程师,环境影响评价相关法律法规,高,《水污染防治法》在环评工程师考试中的定位是什么？,《水污染防治法》是地表水与地下水污染防治的重要法律。备考时要抓住排污口设置、饮用水源保护、工业和城镇污水治理。,法规定位题常考
环境影响评价工程师,环境影响评价相关法律法规,高,复习《水污染防治法》时应重点把握哪些与环评实务直接相关的制度？,重点抓住：排污口设置、饮用水源保护、工业和城镇污水治理，并能结合建设项目审批、实施、验收场景判断适用。,适合做框架记忆
环境影响评价工程师,环境影响评价相关法律法规,中,遇到案例题引用《水污染防治法》时，答题应如何体现法规应用？,先指出适用情形，再说明项目应履行的程序或义务，最后落到合规要求、环保措施或法律责任。,案例分析通用答法
环境影响评价工程师,环境影响评价相关法律法规,高,《大气污染防治法》在环评工程师考试中的定位是什么？,《大气污染防治法》是大气污染防治的重要法律。备考时要抓住重点污染物控制、VOCs治理、无组织排放与重污染天气应对。,法规定位题常考
环境影响评价工程师,环境影响评价相关法律法规,高,复习《大气污染防治法》时应重点把握哪些与环评实务直接相关的制度？,重点抓住：重点污染物控制、VOCs治理、无组织排放与重污染天气应对，并能结合建设项目审批、实施、验收场景判断适用。,适合做框架记忆
环境影响评价工程师,环境影响评价相关法律法规,中,遇到案例题引用《大气污染防治法》时，答题应如何体现法规应用？,先指出适用情形，再说明项目应履行的程序或义务，最后落到合规要求、环保措施或法律责任。,案例分析通用答法
环境影响评价工程师,环境影响评价相关法律法规,高,《噪声污染防治法》在环评工程师考试中的定位是什么？,《噪声污染防治法》是工业、建筑施工、交通运输和社会生活噪声管控依据。备考时要抓住功能区管控、夜间施工限制、敏感建筑物保护。,法规定位题常考
环境影响评价工程师,环境影响评价相关法律法规,高,复习《噪声污染防治法》时应重点把握哪些与环评实务直接相关的制度？,重点抓住：功能区管控、夜间施工限制、敏感建筑物保护，并能结合建设项目审批、实施、验收场景判断适用。,适合做框架记忆
环境影响评价工程师,环境影响评价相关法律法规,中,遇到案例题引用《噪声污染防治法》时，答题应如何体现法规应用？,先指出适用情形，再说明项目应履行的程序或义务，最后落到合规要求、环保措施或法律责任。,案例分析通用答法
环境影响评价工程师,环境影响评价相关法律法规,高,《固体废物污染环境防治法》在环评工程师考试中的定位是什么？,《固体废物污染环境防治法》是一般固废和危险废物管理的核心法律。备考时要抓住减量化、资源化、无害化，危险废物全过程管理。,法规定位题常考
环境影响评价工程师,环境影响评价相关法律法规,高,复习《固体废物污染环境防治法》时应重点把握哪些与环评实务直接相关的制度？,重点抓住：减量化、资源化、无害化，危险废物全过程管理，并能结合建设项目审批、实施、验收场景判断适用。,适合做框架记忆
环境影响评价工程师,环境影响评价相关法律法规,中,遇到案例题引用《固体废物污染环境防治法》时，答题应如何体现法规应用？,先指出适用情形，再说明项目应履行的程序或义务，最后落到合规要求、环保措施或法律责任。,案例分析通用答法
环境影响评价工程师,环境影响评价相关法律法规,高,《土壤污染防治法》在环评工程师考试中的定位是什么？,《土壤污染防治法》是建设用地和农用地土壤污染风险防控的重要法律。备考时要抓住土壤调查、风险管控、修复责任与用途变更要求。,法规定位题常考
环境影响评价工程师,环境影响评价相关法律法规,高,复习《土壤污染防治法》时应重点把握哪些与环评实务直接相关的制度？,重点抓住：土壤调查、风险管控、修复责任与用途变更要求，并能结合建设项目审批、实施、验收场景判断适用。,适合做框架记忆
环境影响评价工程师,环境影响评价相关法律法规,中,遇到案例题引用《土壤污染防治法》时，答题应如何体现法规应用？,先指出适用情形，再说明项目应履行的程序或义务，最后落到合规要求、环保措施或法律责任。,案例分析通用答法
环境影响评价工程师,环境影响评价相关法律法规,高,《海洋环境保护法》在环评工程师考试中的定位是什么？,《海洋环境保护法》是涉海工程和海洋生态保护的重要法律。备考时要抓住海洋工程、入海排污口、海洋生态保护与事故风险防控。,法规定位题常考
环境影响评价工程师,环境影响评价相关法律法规,高,复习《海洋环境保护法》时应重点把握哪些与环评实务直接相关的制度？,重点抓住：海洋工程、入海排污口、海洋生态保护与事故风险防控，并能结合建设项目审批、实施、验收场景判断适用。,适合做框架记忆
