考试类型,科目,重要程度,问题,答案,备注
一级注册建筑师,建筑经济、施工与设计业务管理,高,“建设项目全寿命周期成本”在本科目中的复习抓手是什么？,建设项目全寿命周期成本的抓手是：不仅看初始投资，还要统筹运行、维护、更新和拆除成本。答题时要围绕方案比选时应同时关注一次投资、能耗、维护便利性和耐久性展开。,核心概念
一级注册建筑师,建筑经济、施工与设计业务管理,高,关于“建设项目全寿命周期成本”，最容易出现的失分点是什么？,最常见失分点是：只看建安成本忽略运营成本。应回到制度目的和适用阶段判断。,易错点
一级注册建筑师,建筑经济、施工与设计业务管理,中,如果题目把“建设项目全寿命周期成本”放进案例场景，作答应优先写什么？,优先写其在项目决策或实施中的作用，再写关键控制点，最后结合绿色建筑与高性能围护结构比选说明。,场景应用
一级注册建筑师,建筑经济、施工与设计业务管理,中,“建设项目全寿命周期成本”与建筑师执业实践有什么直接关系？,它直接影响方案合理性、责任划分、成本与进度平衡，以及项目成果能否顺利落地。,执业导向
一级注册建筑师,建筑经济、施工与设计业务管理,高,“设计概算与施工图预算”在本科目中的复习抓手是什么？,设计概算与施工图预算的抓手是：概算用于控制项目总投资，预算更细化并服务招采与施工阶段。答题时要围绕应区分估算、概算、预算、结算的深度和作用展开。,核心概念
一级注册建筑师,建筑经济、施工与设计业务管理,高,关于“设计概算与施工图预算”，最容易出现的失分点是什么？,最常见失分点是：把概算和预算混用。应回到制度目的和适用阶段判断。,易错点
一级注册建筑师,建筑经济、施工与设计业务管理,中,如果题目把“设计概算与施工图预算”放进案例场景，作答应优先写什么？,优先写其在项目决策或实施中的作用，再写关键控制点，最后结合问不同阶段造价文件作用说明。,场景应用
一级注册建筑师,建筑经济、施工与设计业务管理,中,“设计概算与施工图预算”与建筑师执业实践有什么直接关系？,它直接影响方案合理性、责任划分、成本与进度平衡，以及项目成果能否顺利落地。,执业导向
一级注册建筑师,建筑经济、施工与设计业务管理,高,“价值工程”在本科目中的复习抓手是什么？,价值工程的抓手是：以功能与成本的合理匹配提升方案综合效益。答题时要围绕核心不是单纯压缩造价，而是优化功能—成本比展开。,核心概念
一级注册建筑师,建筑经济、施工与设计业务管理,高,关于“价值工程”，最容易出现的失分点是什么？,最常见失分点是：把价值工程理解成低价替代。应回到制度目的和适用阶段判断。,易错点
