考试类型,科目,重要程度,问题,答案,备注
教师资格证,综合素质,高,教育观的核心内容是什么？,素质教育观的核心内容包括：①面向全体学生；②促进学生全面发展；③促进学生个性发展；④培养学生的创新精神和实践能力。口诀："两全一个一创"。,素质教育观
教师资格证,综合素质,高,素质教育与应试教育的根本区别是什么？,素质教育以提高国民素质为根本宗旨，面向全体学生，促进学生全面发展；应试教育以升学为目的，面向少数学生，偏重知识传授和应试技巧。,素质教育观
教师资格证,综合素质,高,"以人为本"的学生观包含哪些要点？,①学生是发展的人（有巨大潜能、处于发展过程中、有发展需要）；②学生是独特的人（完整的人、有自身独特性、与成人有巨大差异）；③学生是具有独立意义的人（独立于教师头脑之外、有学习的主体性、有权责主体性）。口诀："两独一发"。,学生观
教师资格证,综合素质,高,新课程改革背景下的教师观有哪些转变？,①从教师与学生的关系看：教师是学生学习的促进者；②从教学与研究的关系看：教师是教育教学的研究者；③从教学与课程的关系看：教师是课程的建设者和开发者；④从学校与社区的关系看：教师是社区型开放教师。口诀："促研开社"。,教师观
教师资格证,综合素质,高,教师职业道德规范的六条内容是什么？,①爱国守法；②爱岗敬业；③关爱学生；④教书育人；⑤为人师表；⑥终身学习。口诀："三爱两人一终身"。,职业道德
教师资格证,综合素质,高,"关爱学生"的具体要求有哪些？,关心爱护全体学生，尊重学生人格，平等公正对待学生；对学生严慈相济，做学生良师益友；保护学生安全，关心学生健康，维护学生权益；不讽刺、挖苦、歧视学生，不体罚或变相体罚学生。,职业道德
教师资格证,综合素质,高,教师的权利有哪些？,根据《教师法》第七条：①教育教学权；②科学研究权；③指导评价权；④获取报酬权；⑤民主管理权；⑥进修培训权。,教育法律法规
教师资格证,综合素质,高,学生的主要权利有哪些？,①受教育权（受教育机会权、受教育条件权、受教育结果权）；②人身权（身心健康权、人身自由权、人格尊严权、隐私权、名誉权）；③财产权。受教育权是学生最主要的权利。,教育法律法规
教师资格证,综合素质,中,《义务教育法》规定的义务教育年限和入学年龄是什么？,国家实行九年义务教育制度。凡年满六周岁的儿童，其父母或者其他法定监护人应当送其入学接受并完成义务教育；条件不具备的地区的儿童，可以推迟到七周岁。,教育法律法规
教师资格证,综合素质,中,教师资格的取得条件有哪些？,根据《教师法》：①必须是中国公民；②必须具有良好的思想品德；③必须具有规定的学历（幼儿园—幼师及以上、小学—中师及以上、初中—大专及以上、高中/中职—本科及以上）；④必须通过国家教师资格考试。,教育法律法规
