考试类型,科目,重要程度,问题,答案,备注
工程咨询（投资）专业技术人员职业资格,宏观经济政策与发展规划,高,复习“宏观调控目标”时最应先抓什么？,最应先抓：要把增长、就业、物价和国际收支平衡作为整体框架理解。作答时要围绕先写目标之间的协调关系，再写政策工具展开。,核心概念
工程咨询（投资）专业技术人员职业资格,宏观经济政策与发展规划,高,“宏观调控目标”最容易出现的失分点是什么？,最常见失分点是：只背目标名称不理解相互制约。应回到政策目标、适用情形和项目影响判断。,易错点
工程咨询（投资）专业技术人员职业资格,宏观经济政策与发展规划,中,如果题目把“宏观调控目标”放进项目场景，答案应优先写什么？,应先写宏观调控目标与项目的关联，再写关键判断点，最后结合政策框架说明。,场景应用
工程咨询（投资）专业技术人员职业资格,宏观经济政策与发展规划,中,“宏观调控目标”与工程咨询（投资）实践有什么直接关系？,它直接影响项目必要性论证、政策符合性判断和投资方向把握。,执业导向
工程咨询（投资）专业技术人员职业资格,宏观经济政策与发展规划,高,复习“财政政策”时最应先抓什么？,最应先抓：重点理解逆周期调节、支出结构和专项资金投向。作答时要围绕结合扩张与紧缩情形判断政策意图展开。,核心概念
工程咨询（投资）专业技术人员职业资格,宏观经济政策与发展规划,高,“财政政策”最容易出现的失分点是什么？,最常见失分点是：把财政政策与货币政策混用。应回到政策目标、适用情形和项目影响判断。,易错点
工程咨询（投资）专业技术人员职业资格,宏观经济政策与发展规划,中,如果题目把“财政政策”放进项目场景，答案应优先写什么？,应先写财政政策与项目的关联，再写关键判断点，最后结合政策判断说明。,场景应用
工程咨询（投资）专业技术人员职业资格,宏观经济政策与发展规划,中,“财政政策”与工程咨询（投资）实践有什么直接关系？,它直接影响项目必要性论证、政策符合性判断和投资方向把握。,执业导向
工程咨询（投资）专业技术人员职业资格,宏观经济政策与发展规划,高,复习“货币政策”时最应先抓什么？,最应先抓：关注利率、准备金、再贷款和流动性调节对投资环境的影响。作答时要围绕从融资成本、预期和总需求角度分析展开。,核心概念
工程咨询（投资）专业技术人员职业资格,宏观经济政策与发展规划,高,“货币政策”最容易出现的失分点是什么？,最常见失分点是：只记工具不看传导机制。应回到政策目标、适用情形和项目影响判断。,易错点
工程咨询（投资）专业技术人员职业资格,宏观经济政策与发展规划,中,如果题目把“货币政策”放进项目场景，答案应优先写什么？,应先写货币政策与项目的关联，再写关键判断点，最后结合宏观联动说明。,场景应用
工程咨询（投资）专业技术人员职业资格,宏观经济政策与发展规划,中,“货币政策”与工程咨询（投资）实践有什么直接关系？,它直接影响项目必要性论证、政策符合性判断和投资方向把握。,执业导向
工程咨询（投资）专业技术人员职业资格,宏观经济政策与发展规划,高,复习“产业政策”时最应先抓什么？,最应先抓：要理解鼓励、限制、淘汰和结构升级导向。作答时要围绕结合项目所属行业判断政策支持度展开。,核心概念
工程咨询（投资）专业技术人员职业资格,宏观经济政策与发展规划,高,“产业政策”最容易出现的失分点是什么？,最常见失分点是：脱离产业目录空谈政策。应回到政策目标、适用情形和项目影响判断。,易错点
工程咨询（投资）专业技术人员职业资格,宏观经济政策与发展规划,中,如果题目把“产业政策”放进项目场景，答案应优先写什么？,应先写产业政策与项目的关联，再写关键判断点，最后结合项目准入说明。,场景应用
工程咨询（投资）专业技术人员职业资格,宏观经济政策与发展规划,中,“产业政策”与工程咨询（投资）实践有什么直接关系？,它直接影响项目必要性论证、政策符合性判断和投资方向把握。,执业导向
工程咨询（投资）专业技术人员职业资格,宏观经济政策与发展规划,高,复习“区域协调发展”时最应先抓什么？,最应先抓：重点抓国家重大战略区域和主体功能分工。作答时要围绕看项目区位与区域战略的匹配度展开。,核心概念
工程咨询（投资）专业技术人员职业资格,宏观经济政策与发展规划,高,“区域协调发展”最容易出现的失分点是什么？,最常见失分点是：只背区域名称。应回到政策目标、适用情形和项目影响判断。,易错点
